latency
8.547
8.464
9.097
8.770
8.578
8.900
8.040
8.445
8.500
9.359
8.569
8.042
8.114
8.116
9.011
8.013
7.277
8.875
8.279
8.938
7.561
8.248
8.077
8.517
7.168
7.833
7.919
8.736
7.832
8.507
7.997
7.304
8.239
7.570
9.060
7.897
8.192
9.686
7.772
8.141
8.102
7.590
8.489
13.724
8.082
8.284
7.344
9.250
7.615
8.006
7.988
7.343
8.914
7.951
8.123
9.041
8.151
7.730
9.548
8.385
9.184
7.525
9.113
8.190
7.813
8.719
8.969
8.456
10.870
9.046
8.672
7.104
8.823
7.244
8.440
7.812
7.673
8.153
8.897
9.393
8.557
7.049
9.455
8.419
8.070
8.670
9.147
9.959
8.306
7.578
7.678
7.235
7.340
8.221
8.109
8.444
8.766
8.390
8.957
8.916
8.917
7.615
9.345
8.325
7.755
7.376
8.111
8.664
